category,text
REAL,People should NOT wear masks while exercising
REAL,The likelihood of shoes spreading COVID-19 is very low
REAL,The coronavirus disease (COVID-19) is caused by a virus NOT by bacteria
REAL,The prolonged use of medical masks* when properly worn DOES NOT cause CO2 intoxication nor oxygen deficiency
REAL,Most people who get COVID-19 recover from it
REAL,Drinking alcohol does not protect you against COVID-19 and can be dangerous
REAL,Thermal scanners CANNOT detect COVID-19
REAL,There are currently no drugs licensed for the treatment or prevention of COVID-19
REAL,Adding pepper to your soup or other meals DOES NOT prevent or cure COVID-19
REAL,COVID-19 is NOT transmitted through houseflies
REAL,Spraying and introducing bleach or another disinfectant into your body WILL NOT protect you against COVID-19 and can be dangerous
REAL,Drinking methanol ethanol or bleach DOES NOT prevent or cure COVID-19 and can be extremely dangerous
REAL,What areas should be prioritized for disinfection in non-health care settings?
REAL,Which surface disinfectants are effective against COVID-19 in non-health care setting environments?
REAL,What protection measures should people take when using disinfectants?
REAL,What is the guidance for the disinfection of outdoor spaces such as open markets roads?
REAL,Are public systems for disinfecting individuals such as spraying via tunnel or chambers safe to use?
REAL,What are the recommended practices once back home after outdoor activities?
REAL,Are gloves recommended for the community in public spaces to protect against COVID-19 for example when going to the grocery store supermarket?
REAL,How should I clean food items from the grocery store for example fruit vegetables or packaged items?
REAL,What is serology?
REAL,What is the difference between molecular testing and serologic testing?
REAL,Does the presence of antibodies mean that a person is immune?
REAL,How is WHO using serology as part of its response?
REAL,What are the expected results from serologic studies?
REAL,When can we expect results?
REAL,What are the limitations of serology for a novel pathogen?
REAL,What are the results of seroepidemiology studies?
REAL,What do these results mean?
REAL,What is herd immunity?
REAL,What is an immunity passport or a risk-free certificate and what is WHOs view of this?
REAL,What is WHOs view on masks?
REAL,Does WHO advise the use of non-medical fabric masks in the general public?
REAL,What is WHO recommending to countries that are considering the use of masks for the general public?
REAL,What types of masks are used against the spread of COVID-19?
REAL,Which individuals should wear medical masks in the context of COVID-19 according to WHO?
REAL,How should I use and wear a medical mask?
REAL,Does WHO recommend the use of fabric masks for the general public?
REAL,Since there are many types of fabric masks available does WHO have any guidance on which masks to use?
REAL,How should I wear and care for a fabric mask?
REAL,Does WHO recommend the use of gloves in the community to prevent transmission of COVID-19?
REAL,What are the key measures all people should do to protect themselves and others in the context of the COVID-19 pandemic?
REAL,Who is at risk of developing severe disease?
REAL,Is there a vaccine drug or treatment for COVID-19?
REAL,What can I do to prevent infection?
REAL,What can older people do to prepare for COVID-19 in their community?
REAL,How can I keep healthy on a daily basis during the COVID-19 pandemic?
REAL,What should I do if I have symptoms of COVID-19?
REAL,I have recently lost someone I care about. What advice do you have to help me cope?
REAL,Can adolescents catch COVID-19?
REAL,Can adolescents spread COVID-19 to other people even if they have mild or no symptoms?
REAL,Since there are few known cases of adolescents getting seriously ill with COVID-19 should I go to a health facility if I develop symptoms of the disease?
REAL,What should I do if someone in my family gets really ill with COVID-19?
REAL,I am on medication for a chronic health condition. Should I change anything?
REAL,I was due to get vaccinated for HPV meningitis or tetanus but immunization services have been disrupted. Should I be concerned?
REAL,I am bored staying home. Since I am very unlikely to get severely ill even if I was to get COVID-19 why is it important that I follow the guidelines to prevent transmission such as keeping physical distance from other people?
REAL,Some of my friends are not sticking to the rules about physical distancing. What should I do?
REAL,I am feeling really anxious about COVID-19 and its impact on my life. What should I do?
REAL,When will this pandemic end so I can go back to school and meet up with my friends?
REAL,Schools are reopening in some areas of my country. Is it safe to go back to school?
REAL,I know there is a risk of getting COVID-19 at the moment but I feel fine. Can I still play sports?
REAL,I am missing out on my education because of the COVID-19 pandemic. What should I do?
REAL,COVID-19 is everywhere in the news and I am finding it difficult to know what is true and what is false. What should I do?
REAL,Is it safe to have sex at this time?
REAL,In the lockdown I am spending much more time online playing games socialising and studying. Should I be worried about this?
REAL,I heard I can be hurt by online contacts. What are my risks and how I can protect myself online.
REAL,Since my parents stopped going out to work they have been arguing with each other much more and in some instances I have seen one parent harm or hurt the other either verbally or physically. I dont feel safe at home. What should I do?
REAL,I dont like the way someone touches me at home and we are both at home all the time because of the pandemic. What should I do?
REAL,Can COVID-19 be passed through breastfeeding?
REAL,In communities where COVID-19 is prevalent should mothers breastfeed?
REAL,Following delivery should a baby still be immediately placed skin-to-skin and breastfed if the mother is confirmed or suspected to have COVID-19?
REAL,Can women with confirmed or suspected COVID-19 breastfeed?
REAL,If a mother confirmed or suspected to have COVID-19 does not have a medical face mask should she still breastfeed?
REAL,I have confirmed or suspected COVID-19 and am too unwell to breastfeed my baby directly. What can I do?
REAL,I had confirmed or suspected COVID-19 and was unable to breastfeed when can I start to breastfeed again?
REAL,I have confirmed or suspected COVID-19 is it safer to give my baby infant formula milk?
REAL,Why are self-care interventions important during a pandemic like COVID-19?
REAL,Do I need to see a health worker for self care actions?
REAL,What self care actions can I take to protect my sexual and reproductive health?
REAL,How can I get healthcare support during the COVID-19 pandemic for a self-care intervention?
REAL,How should imported foods from countries with high prevalence of COVID-19 be treated?
REAL,Do food inspectors need to wear any protective equipment?
REAL,What do food inspectors need to consider when reopening a food business when the pandemic is over?
REAL,What are the lab protocols for identifying the virus in food? On surfaces?
REAL,Is quarantine necessary for live animals imported from countries experiencing a large numbers of COVID-19 cases?
REAL,How do we ensure the food supply chain remains intact to prevent food shortages?
REAL,How can food businesses remain safe from virus contamination?
REAL,Should grocery store workers wear gloves? Masks?
REAL,What is the protocol when an employee working in a food business becomes ill with COVID-19?
REAL,When can an employee return to work following illness? Are temperature checks appropriate?
REAL,What specific precautions do food workers need to take?
REAL,How should employees maintain safe distance from one another during food production and processing?
REAL,How should baked goods and fresh produce be displayed in a food market/grocery store?
REAL,How should shopping trolleys or carts be disinfected?
REAL,What is the most appropriate sanitizer to use on surfaces in a food production environment?
REAL,Could the virus be transmitted from humans to food animals or vice versa?
REAL,What is known about various conditions affecting survivability of the virus?
REAL,What measures should be taken to ensure safe transport of food during this pandemic?
REAL,What measures should be taken to ensure safe water is used in food production during this pandemic?
REAL,How should food premises be cleaned/disinfected during this pandemic?
REAL,Can I get COVID-19 from food?
REAL,Can the virus live on the surface of foods (including fruits and vegetables frozen foods pre-packaged foods)?
REAL,How to wash fruits and vegetables? Just with water or something else?
REAL,Can the virus live on the surface of food packaging? How long? Is it necessary to disinfect?
REAL,How long is it to cook food? To what temperature to kill the virus?
REAL,What precautions should consumers take in grocery stores?
REAL,Is food/grocery delivery safe?
REAL,What is the best household disinfectant for surfaces?
REAL,Is it still safe to go to food markets? Animal markets? Wet markets?
REAL,As a smoker is my risk of getting the COVID-19 virus higher than that of a non-smoker?
REAL,As a smoker am I likely to get more severe symptoms if infected?
REAL,As a vaper am I more likely to be infected or to have more severe symptoms if infected?
REAL,What about using smokeless tobacco like chewing tobacco?
REAL,What does WHO recommend for tobacco users?
REAL,What can I do to protect people from the risks associated with smoking smokeless tobacco use and vaping?
REAL,Does nicotine use affect my chances in the context of COVID-19?
REAL,Can COVID-19 be transmitted at the workplace?
REAL,What is the risk of contracting COVID-19 in the workplace?
REAL,How can people assess the risk for exposure to COVID-19 in their workplace and plan for preventive measures?
REAL,Who should carry out the workplace risk assessment?
REAL,What are the key considerations for the workplace risk assessment?
REAL,How should employers decide when to open close or re-open workplaces and/or suspend or downscale work activities?
REAL,What key measures to protect against COVID-19 should be undertaken in ALL workplaces?
REAL,What additional measures should be taken at workplaces and for jobs at medium risk?
REAL,What additional measures should be taken at workplaces and for jobs at high risk?
REAL,What should be taken into consideration when setting a physical distance at the workplace?
REAL,What are the rights duties and responsibilities of employers?
REAL,What are the rights duties and responsibilities of workers?
REAL,How can workplaces plan for the prevention and mitigation of COVID-19?
REAL,Can the return to the workplace be immediate after public measures are lifted?
REAL,Does WHO recommend thermal testing of people entering a workplace?
REAL,Does WHO recommend workers wear masks at the workplace (office or others)? If yes what type of masks?
REAL,Are there any directives on office ventilation and air conditioning use?
REAL,What mental health and psychosocial support should be provided to workers during COVID-19?
REAL,What is dexamethasone and does it work against COVID-19?
REAL,Were all patients in RECOVERY given dexamethasone?
REAL,Does WHO recommend the use of dexamethasone for COVID-19 patients?
REAL,Is dexamethasone on the WHO Essential Medicines List?
REAL,Is dexamethasone prequalified by WHO?
REAL,What dose was used in the Recovery trial?
REAL,What are the typical side effects of dexamethasone?
REAL,How do the doses used in the RECOVERY trial compare with those used normally?
REAL,Can steroids be used in the elderly/children/pregnancy?
REAL,Is dexamethasone available across the world?
REAL,How many API suppliers are there?
REAL,Is dexamethasone affordable/what is the price per treatment?
REAL,Why was the use of hydroxychloroquine stopped in the Solidarity Trial?
REAL,What will happen to the people who were already enrolled in the hydroxychloroquine arm of the trial?
REAL,What is WHOs view of the use of hydroxychloroquine in pre or post-exposure prophylaxis?
REAL,How many malaria-affected countries have reported cases of COVID-19?
REAL,Should core malaria vector control interventions be maintained in view of the rapid global spread of COVID-19?
REAL,Should WHO-recommended preventive therapies be maintained in sub-Saharan Africa?
REAL,Are there any changes to WHO guidance with respect to malaria diagnosis and treatment?
REAL,What additional special measures may be needed in the context of COVID-19?
REAL,What are the key considerations for countries that are working to eliminate malaria or prevent re-establishment of transmission?
REAL,Why is WHO particularly concerned about the spread of COVID-19 in malaria-affected areas?
REAL,Have there been disruptions in the global supply of key malaria-related commodities as a result of the COVID-19 pandemic?
REAL,What is WHOs position on the use of chloroquine and hydroxychloroquine in the context of the COVID-19 response?
REAL,What is WHOs position on the use of Artemisia plant material for the prevention or treatment of malaria and/or COVID-19?
REAL,What is WHO doing to support malaria-affected countries in the context of COVID-19?
REAL,Are people with tuberculosis likely to be at increased risk of COVID-19 infection illness and death?
REAL,Do COVID-19 and tuberculosis spread in the same way?
REAL,What is the potential impact of COVID-19 pandemic on essential tuberculosis services?
REAL,What should health authorities do to provide sustainability of essential tuberculosis services during the COVID-19 pandemic?
REAL,How can health authorities ensure supplies of tuberculosis medicines and diagnostics?
REAL,What services can be leveraged across both diseases?
REAL,What measures should be in place to protect staff working in tuberculosis laboratories and healthcare facilities and community health workers from COVID-19 infection?
REAL,How can we protect people seeking tuberculosis care during the COVID-19 pandemic?
REAL,Can tuberculosis and COVID-19 be tested on the same type of specimen?
REAL,Should all people being evaluated for tuberculosis also be tested for COVID-19 and vice-versa?
REAL,Is tuberculosis treatment different in people who have both TB and COVID-19?
REAL,Does the BCG vaccine protect people from COVID-19?
